seed,model_a,model_b,a_correct_b_wrong,a_wrong_b_correct,discordant_pairs,exact_p,holm_adjusted_p_within_seed,significant_at_0.05
42,MobileNetV3-Large,EfficientNet-B0,8,5,13,0.5810546875,1.0,False
42,MobileNetV3-Large,MobileNetV2,21,3,24,0.0002771615982055664,0.0016629695892333984,True
42,MobileNetV3-Large,ShuffleNetV2,20,4,24,0.001543879508972168,0.00771939754486084,True
42,EfficientNet-B0,MobileNetV2,21,6,27,0.005924612283706665,0.02369844913482666,True
42,EfficientNet-B0,ShuffleNetV2,20,7,27,0.0191572904586792,0.0574718713760376,False
42,MobileNetV2,ShuffleNetV2,18,20,38,0.8714146793645341,1.0,False
123,MobileNetV3-Large,EfficientNet-B0,9,1,10,0.021484375,0.0859375,False
123,MobileNetV3-Large,MobileNetV2,18,2,20,0.0004024505615234375,0.002414703369140625,True
123,MobileNetV3-Large,ShuffleNetV2,14,2,16,0.004180908203125,0.020904541015625,True
123,EfficientNet-B0,MobileNetV2,16,8,24,0.15158963203430176,0.4547688961029053,False
123,EfficientNet-B0,ShuffleNetV2,13,9,22,0.5234670639038086,1.0,False
123,MobileNetV2,ShuffleNetV2,13,17,30,0.5846647117286922,1.0,False
2026,MobileNetV3-Large,EfficientNet-B0,12,3,15,0.03515625,0.08645015896763654,False
2026,MobileNetV3-Large,MobileNetV2,30,3,33,1.4011748135089874e-06,8.407048881053925e-06,True
2026,MobileNetV3-Large,ShuffleNetV2,26,3,29,1.5236437320709229e-05,7.618218660354614e-05,True
2026,EfficientNet-B0,MobileNetV2,24,6,30,0.0014309063553810122,0.005723625421524049,True
2026,EfficientNet-B0,ShuffleNetV2,25,11,36,0.028816719655878845,0.08645015896763654,False
2026,MobileNetV2,ShuffleNetV2,22,26,48,0.6654658120766188,0.6654658120766188,False
3407,MobileNetV3-Large,EfficientNet-B0,5,6,11,1.0,1.0,False
3407,MobileNetV3-Large,MobileNetV2,19,3,22,0.0008554458618164062,0.0051326751708984375,True
3407,MobileNetV3-Large,ShuffleNetV2,17,6,23,0.03468966484069824,0.10406899452209473,False
3407,EfficientNet-B0,MobileNetV2,21,4,25,0.0009105205535888672,0.0051326751708984375,True
3407,EfficientNet-B0,ShuffleNetV2,17,5,22,0.01690053939819336,0.06760215759277344,False
3407,MobileNetV2,ShuffleNetV2,15,20,35,0.4995598332025112,0.9991196664050224,False
9103,MobileNetV3-Large,EfficientNet-B0,9,3,12,0.14599609375,0.43798828125,False
9103,MobileNetV3-Large,MobileNetV2,20,2,22,0.00012111663818359375,0.0007266998291015625,True
9103,MobileNetV3-Large,ShuffleNetV2,15,4,19,0.0192108154296875,0.0960540771484375,False
9103,EfficientNet-B0,MobileNetV2,20,8,28,0.03569813817739487,0.14279255270957947,False
9103,EfficientNet-B0,ShuffleNetV2,16,11,27,0.44206833839416504,0.6210093181580307,False
9103,MobileNetV2,ShuffleNetV2,14,21,35,0.31050465907901537,0.6210093181580307,False
