Model,Class,Support,Precision mean (%),Precision SD (%),Precision manuscript,Recall mean (%),Recall SD (%),Recall manuscript,F1 mean (%),F1 SD (%),F1 manuscript
EfficientNet-B0,0 hr Beef,31,98.70967741935483,1.7668469596940808,98.71 ± 1.77,98.06451612903227,1.7668469596940808,98.06 ± 1.77,98.38180856689583,1.6129465711854705,98.38 ± 1.61
EfficientNet-B0,0 hr Mutton,31,97.47983870967741,1.4094890578739472,97.48 ± 1.41,99.35483870967741,1.4426245016127648,99.35 ± 1.44,98.40245775729647,1.1405810103086336,98.40 ± 1.14
EfficientNet-B0,12 hr Beef,31,93.9573732718894,5.305812381083021,93.96 ± 5.31,95.48387096774195,1.7668469596940886,95.48 ± 1.77,94.62728669180282,2.456133700945336,94.63 ± 2.46
EfficientNet-B0,12 hr Mutton,32,98.098223615465,2.763050178648011,98.10 ± 2.76,91.875,3.563048203434806,91.88 ± 3.56,94.8252044095513,1.8286189215028124,94.83 ± 1.83
EfficientNet-B0,24 hr Beef,35,95.98978657802188,2.2912261791948834,95.99 ± 2.29,93.71428571428571,2.3904572186687836,93.71 ± 2.39,94.7968172776357,0.7921459671812775,94.80 ± 0.79
EfficientNet-B0,24 hr Mutton,33,97.05567226890756,2.9015269001276582,97.06 ± 2.90,97.57575757575758,2.5353334137396235,97.58 ± 2.54,97.28547308705342,1.9700815317356586,97.29 ± 1.97
EfficientNet-B0,36 hr Mutton,23,93.92857142857142,6.830989310926086,93.93 ± 6.83,100.0,0.0,100.00 ± 0.00,96.76261994159367,3.7846577026674546,96.76 ± 3.78
EfficientNet-B0,36+ hr Beef,34,96.046685340803,1.4630414153404219,96.05 ± 1.46,99.41176470588235,1.3153341044116396,99.41 ± 1.32,97.68919741809768,0.7872110473696586,97.69 ± 0.79
EfficientNet-B0,48 hr Mutton,32,100.0,0.0,100.00 ± 0.00,96.25,2.6145625829189862,96.25 ± 2.61,98.0747567844342,1.3525808653482108,98.07 ± 1.35
MobileNetV2,0 hr Beef,31,96.28787878787878,3.3895695285114615,96.29 ± 3.39,96.12903225806451,3.533693919388173,96.13 ± 3.53,96.1254200902367,1.4660611019780103,96.13 ± 1.47
MobileNetV2,0 hr Mutton,31,88.25945378151259,1.9094676961486943,88.26 ± 1.91,96.7741935483871,3.225806451612904,96.77 ± 3.23,92.29614829614829,1.9268707461420485,92.30 ± 1.93
MobileNetV2,12 hr Beef,31,94.9130009775171,4.7789570682136135,94.91 ± 4.78,91.61290322580645,3.6779852422552883,91.61 ± 3.68,93.12919485524293,2.3735472259953845,93.13 ± 2.37
MobileNetV2,12 hr Mutton,32,91.46332565284179,4.517714590110442,91.46 ± 4.52,85.0,2.6145625829189862,85.00 ± 2.61,88.05062724014337,2.5045005240877374,88.05 ± 2.50
MobileNetV2,24 hr Beef,35,93.63460939931528,3.401041514213533,93.63 ± 3.40,81.71428571428572,7.4505170345173095,81.71 ± 7.45,87.0703128879847,4.115305478394446,87.07 ± 4.12
MobileNetV2,24 hr Mutton,33,87.62254901960785,4.908084410416858,87.62 ± 4.91,89.09090909090908,4.06557814090871,89.09 ± 4.07,88.30749263714871,3.958716055271395,88.31 ± 3.96
MobileNetV2,36 hr Mutton,23,84.82486772486773,7.351792925162386,84.82 ± 7.35,98.2608695652174,2.381402423935502,98.26 ± 2.38,90.90550767075196,4.329509396054671,90.91 ± 4.33
MobileNetV2,36+ hr Beef,34,93.80652535873249,3.2550227764856996,93.81 ± 3.26,95.29411764705883,6.443794794178425,95.29 ± 6.44,94.39732003724654,2.986817243735358,94.40 ± 2.99
MobileNetV2,48 hr Mutton,32,96.53781512605042,5.130319203409774,96.54 ± 5.13,95.0,4.192627457812105,95.00 ± 4.19,95.61672864829215,2.219386618893208,95.62 ± 2.22
MobileNetV3-Large,0 hr Beef,31,99.375,1.3975424859373686,99.38 ± 1.40,100.0,0.0,100.00 ± 0.00,99.68253968253968,0.7098628499999371,99.68 ± 0.71
MobileNetV3-Large,0 hr Mutton,31,98.125,1.7116329922036442,98.12 ± 1.71,100.0,0.0,100.00 ± 0.00,99.04761904761907,0.8694008849288399,99.05 ± 0.87
MobileNetV3-Large,12 hr Beef,31,98.75,1.7116329922036442,98.75 ± 1.71,99.35483870967741,1.4426245016127648,99.35 ± 1.44,99.03721051262035,0.8791592977635292,99.04 ± 0.88
MobileNetV3-Large,12 hr Mutton,32,99.3939393939394,1.3551927136362365,99.39 ± 1.36,95.625,3.563048203434806,95.62 ± 3.56,97.42861920968743,1.494890838458518,97.43 ± 1.49
MobileNetV3-Large,24 hr Beef,35,98.3015873015873,2.546864844105317,98.30 ± 2.55,96.0,4.780914437337576,96.00 ± 4.78,97.0734764317128,2.7679161173028746,97.07 ± 2.77
MobileNetV3-Large,24 hr Mutton,33,98.2174688057041,1.6276276620097738,98.22 ± 1.63,97.57575757575758,2.5353334137396235,97.58 ± 2.54,97.86423216087395,0.8606740543815143,97.86 ± 0.86
MobileNetV3-Large,36 hr Mutton,23,97.56666666666668,3.5970667062050543,97.57 ± 3.60,100.0,0.0,100.00 ± 0.00,98.74113475177305,1.868444393738362,98.74 ± 1.87
MobileNetV3-Large,36+ hr Beef,34,97.32330827067669,4.559144556183386,97.32 ± 4.56,99.41176470588235,1.3153341044116396,99.41 ± 1.32,98.30052635373856,2.2776748487762717,98.30 ± 2.28
MobileNetV3-Large,48 hr Mutton,32,100.0,0.0,100.00 ± 0.00,99.375,1.3975424859373686,99.38 ± 1.40,99.68253968253968,0.7098628499999371,99.68 ± 0.71
ShuffleNetV2,0 hr Beef,31,96.39817290552585,3.856340558408035,96.40 ± 3.86,100.0,0.0,100.00 ± 0.00,98.13446275946276,2.0115777699248047,98.13 ± 2.01
ShuffleNetV2,0 hr Mutton,31,96.32575757575758,2.5245224639125126,96.33 ± 2.52,100.0,0.0,100.00 ± 0.00,98.11507936507937,1.3043843047921324,98.12 ± 1.30
ShuffleNetV2,12 hr Beef,31,97.97701149425288,1.847323480824671,97.98 ± 1.85,94.83870967741936,3.677985242255288,94.84 ± 3.68,96.37158469945355,2.7239217625660133,96.37 ± 2.72
