Model,Seed,Class,Precision,Recall,F1,Support
EfficientNet-B0,123,0 hr Beef,0.967741935483871,0.967741935483871,0.967741935483871,31.0
EfficientNet-B0,123,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
EfficientNet-B0,123,12 hr Beef,0.9354838709677419,0.9354838709677419,0.9354838709677419,31.0
EfficientNet-B0,123,12 hr Mutton,1.0,0.90625,0.9508196721311475,32.0
EfficientNet-B0,123,24 hr Beef,0.9705882352941176,0.9428571428571428,0.9565217391304348,35.0
EfficientNet-B0,123,24 hr Mutton,0.9411764705882353,0.9696969696969697,0.9552238805970149,33.0
EfficientNet-B0,123,36 hr Mutton,0.9583333333333334,1.0,0.9787234042553191,23.0
EfficientNet-B0,123,36+ hr Beef,0.9444444444444444,1.0,0.9714285714285714,34.0
EfficientNet-B0,123,48 hr Mutton,1.0,0.96875,0.9841269841269841,32.0
EfficientNet-B0,2026,0 hr Beef,1.0,0.967741935483871,0.9836065573770492,31.0
EfficientNet-B0,2026,0 hr Mutton,0.967741935483871,0.967741935483871,0.967741935483871,31.0
EfficientNet-B0,2026,12 hr Beef,0.8571428571428571,0.967741935483871,0.9090909090909091,31.0
EfficientNet-B0,2026,12 hr Mutton,0.9655172413793104,0.875,0.9180327868852459,32.0
EfficientNet-B0,2026,24 hr Beef,0.9696969696969697,0.9142857142857143,0.9411764705882353,35.0
EfficientNet-B0,2026,24 hr Mutton,0.9428571428571428,1.0,0.9705882352941176,33.0
EfficientNet-B0,2026,36 hr Mutton,0.9583333333333334,1.0,0.9787234042553191,23.0
EfficientNet-B0,2026,36+ hr Beef,0.9714285714285714,1.0,0.9855072463768116,34.0
EfficientNet-B0,2026,48 hr Mutton,1.0,0.9375,0.967741935483871,32.0
EfficientNet-B0,3407,0 hr Beef,1.0,1.0,1.0,31.0
EfficientNet-B0,3407,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
EfficientNet-B0,3407,12 hr Beef,0.967741935483871,0.967741935483871,0.967741935483871,31.0
EfficientNet-B0,3407,12 hr Mutton,1.0,0.9375,0.967741935483871,32.0
EfficientNet-B0,3407,24 hr Beef,0.9705882352941176,0.9428571428571428,0.9565217391304348,35.0
EfficientNet-B0,3407,24 hr Mutton,1.0,1.0,1.0,33.0
EfficientNet-B0,3407,36 hr Mutton,1.0,1.0,1.0,23.0
EfficientNet-B0,3407,36+ hr Beef,0.9444444444444444,1.0,0.9714285714285714,34.0
EfficientNet-B0,3407,48 hr Mutton,1.0,1.0,1.0,32.0
EfficientNet-B0,42,0 hr Beef,1.0,1.0,1.0,31.0
EfficientNet-B0,42,0 hr Mutton,1.0,1.0,1.0,31.0
EfficientNet-B0,42,12 hr Beef,1.0,0.9354838709677419,0.9666666666666667,31.0
EfficientNet-B0,42,12 hr Mutton,0.9393939393939394,0.96875,0.9538461538461539,32.0
EfficientNet-B0,42,24 hr Beef,0.918918918918919,0.9714285714285714,0.9444444444444444,35.0
EfficientNet-B0,42,24 hr Mutton,0.96875,0.9393939393939394,0.9538461538461539,33.0
EfficientNet-B0,42,36 hr Mutton,0.9583333333333334,1.0,0.9787234042553191,23.0
EfficientNet-B0,42,36+ hr Beef,0.9705882352941176,0.9705882352941176,0.9705882352941176,34.0
EfficientNet-B0,42,48 hr Mutton,1.0,0.96875,0.9841269841269841,32.0
EfficientNet-B0,9103,0 hr Beef,0.967741935483871,0.967741935483871,0.967741935483871,31.0
EfficientNet-B0,9103,0 hr Mutton,0.96875,1.0,0.9841269841269841,31.0
EfficientNet-B0,9103,12 hr Beef,0.9375,0.967741935483871,0.9523809523809523,31.0
